Apr  2 20:42:51.049 2021@LM_INFO@  active LogDBCenterTask[1] succ!
Apr  2 20:42:51.350 2021@LM_INFO@get_table_no, cur_time:1617410571, table_no:20210402
Apr  2 20:42:59.388 2021@LM_ERROR@DB Error:[1064]:You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'INT DEFAULT 0,role_level         INT DEFAULT 0,role_vip_level     INT DEFAULT 0,' at line 1.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411479, set_id=1, svr_type=17, svr_id=1000001, cache_type=101, cache_capa=769, cache_size=0; 
Apr  2 20:59:42.812 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411479, set_id=1, svr_type=11, svr_id=1001101, cache_type=512, cache_capa=4019, cache_size=2; 
Apr  2 20:59:42.816 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411480, set_id=1, svr_type=11, svr_id=1001101, cache_type=513, cache_capa=1543, cache_size=0; 
Apr  2 20:59:42.819 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411480, set_id=1, svr_type=11, svr_id=1001101, cache_type=514, cache_capa=1543, cache_size=0; 
Apr  2 20:59:42.823 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411481, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=0; 
Apr  2 20:59:42.828 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411481, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 20:59:42.832 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411481, set_id=1, svr_type=12, svr_id=1000001, cache_type=701, cache_capa=1019, cache_size=0; 
Apr  2 20:59:42.836 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411481, set_id=1, svr_type=11, svr_id=1001101, cache_type=515, cache_capa=4019, cache_size=0; 
Apr  2 20:59:42.841 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411481, set_id=1, svr_type=15, svr_id=1000001, cache_type=201, cache_capa=53, cache_size=13; 
Apr  2 20:59:42.845 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411482, set_id=11, svr_type=11, svr_id=1001101, cache_type=516, cache_capa=389, cache_size=0; 
Apr  2 20:59:42.849 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411482, set_id=1, svr_type=6, svr_id=1000001, cache_type=802, cache_capa=101051, cache_size=0; 
Apr  2 20:59:42.853 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411483, set_id=1, svr_type=5, svr_id=1000001, cache_type=401, cache_capa=3079, cache_size=0; 
Apr  2 20:59:42.856 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411484, set_id=1, svr_type=11, svr_id=1001101, cache_type=517, cache_capa=389, cache_size=0; 
Apr  2 20:59:42.860 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411485, set_id=1, svr_type=11, svr_id=1001101, cache_type=518, cache_capa=1019, cache_size=0; 
Apr  2 20:59:42.865 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411486, set_id=1, svr_type=20, svr_id=1000001, cache_type=601, cache_capa=10139, cache_size=0; 
Apr  2 20:59:42.869 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411486, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=0; 
Apr  2 20:59:42.872 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411486, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 20:59:42.876 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411487, set_id=1, svr_type=6, svr_id=1000001, cache_type=801, cache_capa=256, cache_size=1; 
Apr  2 20:59:42.879 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411489, set_id=1, svr_type=11, svr_id=1001101, cache_type=508, cache_capa=2027, cache_size=0; 
Apr  2 20:59:42.882 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411489, set_id=1, svr_type=17, svr_id=1000001, cache_type=101, cache_capa=769, cache_size=0; 
Apr  2 20:59:42.900 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411490, set_id=1, svr_type=11, svr_id=1001101, cache_type=503, cache_capa=3079, cache_size=0; 
Apr  2 20:59:42.905 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411490, set_id=1, svr_type=11, svr_id=1001101, cache_type=504, cache_capa=53, cache_size=0; 
Apr  2 20:59:42.910 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411490, set_id=1, svr_type=11, svr_id=1001101, cache_type=505, cache_capa=10139, cache_size=0; 
Apr  2 20:59:42.915 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411491, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=0; 
Apr  2 20:59:42.919 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411491, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 20:59:42.926 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411491, set_id=1, svr_type=12, svr_id=1000001, cache_type=701, cache_capa=1019, cache_size=0; 
Apr  2 20:59:42.931 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411491, set_id=1, svr_type=15, svr_id=1000001, cache_type=201, cache_capa=53, cache_size=13; 
Apr  2 20:59:42.938 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411491, set_id=1, svr_type=11, svr_id=1001101, cache_type=502, cache_capa=389, cache_size=0; 
Apr  2 20:59:42.942 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411492, set_id=1, svr_type=6, svr_id=1000001, cache_type=802, cache_capa=101051, cache_size=0; 
Apr  2 20:59:42.948 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411492, set_id=1, svr_type=11, svr_id=1001101, cache_type=506, cache_capa=10139, cache_size=0; 
Apr  2 20:59:42.953 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411492, set_id=1, svr_type=11, svr_id=1001101, cache_type=507, cache_capa=10139, cache_size=0; 
Apr  2 20:59:42.957 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411493, set_id=1, svr_type=5, svr_id=1000001, cache_type=401, cache_capa=3079, cache_size=0; 
Apr  2 20:59:42.960 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411494, set_id=1, svr_type=11, svr_id=1001101, cache_type=510, cache_capa=1019, cache_size=1; 
Apr  2 20:59:42.966 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411495, set_id=1, svr_type=11, svr_id=1001101, cache_type=501, cache_capa=10139, cache_size=2; 
Apr  2 20:59:42.970 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411496, set_id=1, svr_type=20, svr_id=1000001, cache_type=601, cache_capa=10139, cache_size=0; 
Apr  2 20:59:42.974 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411496, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=0; 
Apr  2 20:59:42.977 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411496, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 20:59:42.980 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411497, set_id=1, svr_type=6, svr_id=1000001, cache_type=801, cache_capa=256, cache_size=1; 
Apr  2 20:59:42.984 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411497, set_id=1, svr_type=11, svr_id=1001101, cache_type=512, cache_capa=4019, cache_size=2; 
Apr  2 20:59:42.988 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411498, set_id=1, svr_type=11, svr_id=1001101, cache_type=513, cache_capa=1543, cache_size=0; 
Apr  2 20:59:42.992 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411498, set_id=1, svr_type=11, svr_id=1001101, cache_type=514, cache_capa=1543, cache_size=0; 
Apr  2 20:59:42.996 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411499, set_id=1, svr_type=11, svr_id=1001101, cache_type=515, cache_capa=4019, cache_size=0; 
Apr  2 20:59:43.001 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411499, set_id=1, svr_type=17, svr_id=1000001, cache_type=101, cache_capa=769, cache_size=0; 
Apr  2 20:59:43.005 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411501, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=0; 
Apr  2 20:59:43.010 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411501, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 20:59:43.016 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411501, set_id=1, svr_type=12, svr_id=1000001, cache_type=701, cache_capa=1019, cache_size=0; 
Apr  2 20:59:43.020 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411501, set_id=1, svr_type=15, svr_id=1000001, cache_type=201, cache_capa=53, cache_size=13; 
Apr  2 20:59:43.026 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411502, set_id=1, svr_type=6, svr_id=1000001, cache_type=802, cache_capa=101051, cache_size=0; 
Apr  2 20:59:43.029 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411503, set_id=1, svr_type=5, svr_id=1000001, cache_type=401, cache_capa=3079, cache_size=0; 
Apr  2 20:59:43.032 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411503, set_id=11, svr_type=9, svr_id=1001101, cache_type=5, cache_capa=769, cache_size=0; 
Apr  2 20:59:43.038 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411503, set_id=11, svr_type=9, svr_id=1001101, cache_type=6, cache_capa=6291469, cache_size=0; 
Apr  2 20:59:43.041 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411503, set_id=11, svr_type=9, svr_id=1001101, cache_type=7, cache_capa=4076, cache_size=0; 
Apr  2 20:59:43.044 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411503, set_id=11, svr_type=9, svr_id=1001101, cache_type=8, cache_capa=5021, cache_size=0; 
Apr  2 20:59:43.048 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411503, set_id=11, svr_type=9, svr_id=1001101, cache_type=9, cache_capa=21101, cache_size=0; 
Apr  2 20:59:43.053 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411503, set_id=11, svr_type=9, svr_id=1001101, cache_type=10, cache_capa=389, cache_size=0; 
Apr  2 20:59:43.056 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411504, set_id=11, svr_type=11, svr_id=1001101, cache_type=516, cache_capa=389, cache_size=0; 
Apr  2 20:59:43.063 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411506, set_id=1, svr_type=20, svr_id=1000001, cache_type=601, cache_capa=10139, cache_size=0; 
Apr  2 20:59:43.071 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411506, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=0; 
Apr  2 20:59:43.078 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411506, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 20:59:43.081 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411506, set_id=1, svr_type=11, svr_id=1001101, cache_type=517, cache_capa=389, cache_size=0; 
Apr  2 20:59:43.085 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411506, set_id=11, svr_type=9, svr_id=1001101, cache_type=11, cache_capa=21101, cache_size=0; 
Apr  2 20:59:43.088 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411507, set_id=1, svr_type=11, svr_id=1001101, cache_type=518, cache_capa=1019, cache_size=0; 
Apr  2 20:59:43.092 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411507, set_id=11, svr_type=9, svr_id=1001101, cache_type=4, cache_capa=1019, cache_size=0; 
Apr  2 20:59:43.095 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411507, set_id=1, svr_type=6, svr_id=1000001, cache_type=801, cache_capa=256, cache_size=1; 
Apr  2 20:59:43.099 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411508, set_id=11, svr_type=9, svr_id=1001101, cache_type=17, cache_capa=389, cache_size=0; 
Apr  2 20:59:43.104 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
